sentence	sentence_id	locale	reason
朕賜你自盡	8b1381984e30f8867df0c9e4d0f10f0ff7f346228b30323fa25e9e3a2a176b7d	zh-TW	offensive-language
也有就此忘記對的	6328ee65d44097599ea1bcbca07c4a9b3ce01c2da0c4e7b2e3006ff8c0809f30	zh-TW	grammar-or-spelling
牛肉湯、碗粿、鱔魚意麵	bc5e4dbd0b2db01341bb401673f649907e6659ddeb89861b74074a26b7516c37	zh-TW	different-language
靠北電子發票	8a28bf230e7d993fbea4b79e47774bd0b6ca5b3b191a6f6c44c522534bd92fd7	zh-TW	offensive-language
水氣都被吸去集氣中	bfec9e2ae1b683122363b15cad144295510d0e509ed046079d7ded40a95040c0	zh-TW	grammar-or-spelling
鑰匙貼在兔子上	be9536c04907d3fd26213654b8ddbd01285b3387cca2cfff09c5966b3746d026	zh-TW	grammar-or-spelling
共同參與區域發展	cd923f23fbbcbec0c4ae33243422243f21b6cf79c0f09db49835b95f9f8316d5	zh-TW	difficult-pronounce
應該不自帶神經	fcb46f77ae16c7b919678b6c9cf114f533b7b1cd7d430232b737a5787d9ba29e	zh-TW	grammar-or-spelling
前者會讓司機取得乘客手機	ee3f2bb06bbd35da1616435fac701d8195f4d745c8d90344e296052925e01708	zh-TW	grammar-or-spelling
讓社會力進來	0e7edd6d72efa0de4d26d20cd1613a2f4121c5251dc2f807757d58f4fcab1cab	zh-TW	grammar-or-spelling
後來升格變東廠	bdb7f3ac3f9f4d4a9b323f354e01eb59c32026c687a86357ab8eb82b378bb521	zh-TW	grammar-or-spelling
記得有看到悠遊卡的	eb8447c1509dedec948a979944f1c7a614ae9a911a0217b03b9f5b6fb22b4e38	zh-TW	grammar-or-spelling
或者是就氣氣氣	e8dc48c5ae3782899c6ccdf0644d4b626d7bd7d0a4e680595f6fcfbb9eee3780	zh-TW	grammar-or-spelling
初始環境境設定	f44908e3c41a141dd50c0f8ce840e476e8ddfa1e4421cdbf6cbdae4e6326504e	zh-TW	grammar-or-spelling
亞洲乃至亞太區域國家	17de41629cc2e5f765d3d1a4351792fdecf11e3488a58717e849fb1beb991d44	zh-TW	grammar-or-spelling
解放台灣	1a4a8a0e7239d6be45913993d805711e52e6edf048363d532fe0f5f6116dbcc7	zh-TW	offensive-language
解放台灣	1a4a8a0e7239d6be45913993d805711e52e6edf048363d532fe0f5f6116dbcc7	zh-TW	grammar-or-spelling
解放台灣	1a4a8a0e7239d6be45913993d805711e52e6edf048363d532fe0f5f6116dbcc7	zh-TW	different-language
解放台灣	1a4a8a0e7239d6be45913993d805711e52e6edf048363d532fe0f5f6116dbcc7	zh-TW	????
老子英雄兒好漢	a57f9cc8fcaaed5544af1bb3fed211116af0dbe3a926de5f3ac17ccf1d5e3f01	zh-TW	grammar-or-spelling
在那兒他們可以暫時遠離人群	69d4ae52dc8f2639ee30d4a36d9d4694e5c0aef838542e310403918650c0496e	zh-TW	this is not how Taiwanese people talk
用電阻檔	8550bb953593dcff202b6212a60837fc8d9fe8c8400937aa49a3ef9e35bdc5df	zh-TW	grammar-or-spelling
普京傻屄	e16c002551b0b1a7600102c4c4effc034712e8a8e48d55f15fed14c6219b633f	zh-TW	offensive-language
下列那一項敘述	944f57cc51f22fdb3526db1350b1192a158abd6442550e7a7b1d8e36fe7c8b44	zh-TW	grammar-or-spelling
台灣和平解放	f0cdf2cb924b33f8c51b424a8a84c9176b0a16450c83b08b875d3e5d94bc4727	zh-TW	offensive-language
老子英雄兒好漢	a57f9cc8fcaaed5544af1bb3fed211116af0dbe3a926de5f3ac17ccf1d5e3f01	zh-TW	different-language
這是描寫耶一時代的社會風氣？	f381b1df7deb14b7f4007a8dec21acd657f287e1487a1c7c5a38d0c267ede6c8	zh-TW	grammar-or-spelling
先要有民冶，民有和民享才能落實	00f5717a660d86c67ccd5082b55c3a41485f48b62e240d09e01adf8c29828681	zh-TW	grammar-or-spelling
極權玫治最大的罪惡	46ba1c3072529ca793650b3b2e1036f4349392c3c3324f43d5222b17dd3a6b54	zh-TW	grammar-or-spelling
中潭公路	88b953498a6ae584e59e9097bee1e21b39b9e71272cd96d566300522b1da9c4a	zh-TW	different-language
反貪腐大道	8f2156d190ff2652b85343aacd234931111eccce35bb9f605e0a6dd9e044bc1a	zh-TW	different-language
敕使道路	ae4c7f3daa774787c2263bfe7547185780880b8dfd551d31a486b2dfaabe7880	zh-TW	difficult-pronounce
中華民國滅亡了啦！	be25f6a919b5ea3627e811134c5b1a66401674dea2b9d5d93bcea8b4a6881fcc	zh-TW	offensive-language
因為現在太多日本人	9c36df7404032098edee84cf544492e63837f92e50573a231270c7dd273ddd60	zh-TW	grammar-or-spelling
為什麼聲音就會有回音	d537eb62e1c30322932cdc0519541176fdbfcd94d5a23a268e08627753a239db	zh-TW	grammar-or-spelling
應該就可以登入	d2d7304bb0892852a1dfc317a2f0898ff8c553026997b1923aabb477d4c7bd93	zh-TW	grammar-or-spelling
因為這樣會增加	a4eee2654dbbd5114b8c7b1f0b4dff8c4662e1e4ade387ae4fb65862696b4acd	zh-TW	grammar-or-spelling
但是也不可能因此退	9191fbdb75b4cebdb9f1b9e20c1f901ce996b738dce97b59f97efff09434fc90	zh-TW	grammar-or-spelling
有定期月聚會	d60cd79e7b149fe47965e0df7656218aa52c015ee4299cdf5a2db60321a73fe2	zh-TW	grammar-or-spelling
這份共筆也歡迎協作	dac80ac47d494eff7b3046a560a8c5e7cb9d8f450db42f7618a370a20e554fd8	zh-TW	different-language
艋舺大道與南寧路之間	3881c9c2b8e5a7c2c462a38e36068867a7d46e06b20b185b76799a9c487add63	zh-TW	different-language
萬新鐵路	b6274ba2e597dad4ef6f1c3323f9c29c8fe90a1381ae0600e039265b8874d340	zh-TW	different-language
一定iPad溫開水	bcfe018449e98ccd2967afd85a3bc32c5baf226d5b03ea7d8f2af5b131bdce9e	zh-TW	grammar-or-spelling
普京傻屄	e16c002551b0b1a7600102c4c4effc034712e8a8e48d55f15fed14c6219b633f	zh-TW	offensive-language
這是描寫耶一時代的社會風氣？	f381b1df7deb14b7f4007a8dec21acd657f287e1487a1c7c5a38d0c267ede6c8	zh-TW	grammar-or-spelling
國家採行馬列社會主義體制	2ee25bbdd86930f30909310d8c79bfbdf41ba8c36badb912e20521f19a2c83d4	zh-TW	different-language
延緩了民權革命運動之發主	314ae822ba741eaabd4ff832c6c891dc2ebb806dd2221eb82b57d4b569e60b0b	zh-TW	grammar-or-spelling
這裡些消費百元出頭	24b1c18a4c822b35a135140646f0fb942d841ebfbed9ef788c05f9c99e6cae03	zh-TW	grammar-or-spelling
松山飛機場線	35103e7d514e72f949683f9f71177dedc439afd97e48ecb6f826826212d1c6d6	zh-TW	different-language
延緩了民權革命運動之發主	314ae822ba741eaabd4ff832c6c891dc2ebb806dd2221eb82b57d4b569e60b0b	zh-TW	grammar-or-spelling
極權玫治最大的罪惡	46ba1c3072529ca793650b3b2e1036f4349392c3c3324f43d5222b17dd3a6b54	zh-TW	grammar-or-spelling
革命靠毛澤東思想	404059e672e8e4147c036df262c14ab2df47bec9bea6e5862b07930b999a4fa6	zh-TW	offensive-language
到底用離線版的效益比較大	40fa0fda28f13470a073ecce1ad5cf77de47cf2504d32714403564b6e55da72d	zh-TW	grammar-or-spelling
台灣要被解放	5823b44d5e237f46529c4f352978ece03db21b84760c7e478287e6c0bc9b82fe	zh-TW	offensive-language
所以古來	462465134f86fc2df873b62637d0a028b5ee840a36be9a7c0d07906a2a35dc5f	zh-TW	grammar-or-spelling
從前從前	592b671f539f0aa2aaee02e5690eadd3c07efd424b398838b9731081c695c9f9	zh-TW	grammar-or-spelling
臺北捷運土城線	79afd0c3d0133f698976825397be39276d7ba27a22dc280f485198633fdbe983	zh-TW	??????work
均重視軍事與國防上的革新	7065581bc6b02619913f9cfd83701ed006c0f4c51d8a44dce9632aa2cbe7a34e	zh-TW	grammar-or-spelling
均重視軍事與國防上的革新	7065581bc6b02619913f9cfd83701ed006c0f4c51d8a44dce9632aa2cbe7a34e	zh-TW	difficult-pronounce
孤帆遠影畢書盡	9f5c69003558456ccfbdc6e72bcb6f367184302156221d1b0316a8b48c77f7d1	zh-TW	grammar-or-spelling
日本一向有意侵略中國東北各省	883eba66ade517393c5b6c59f780ff8cf8d782ac1cb6f3011e47a653d0bf5653	zh-TW	offensive-language
豐原端	9c3ca4f39179d254e8a760576dad4ca9e68993a6f08992d74abf3db0481ad785	zh-TW	grammar-or-spelling
政治歸政治，苓膏龜苓膏	986533975d3895f9fe080625d18cc61a31d8b537b70f4cc4ec06ea7c808c4d8a	zh-TW	grammar-or-spelling
赤土崎交流道	b9ed4d63c6cecd6ca840e3ddd5a0893df707b09dae46f47d630ab6c248f7d944	zh-TW	offensive-language
赤土崎交流道	b9ed4d63c6cecd6ca840e3ddd5a0893df707b09dae46f47d630ab6c248f7d944	zh-TW	grammar-or-spelling
赤土崎交流道	b9ed4d63c6cecd6ca840e3ddd5a0893df707b09dae46f47d630ab6c248f7d944	zh-TW	different-language
赤土崎交流道	b9ed4d63c6cecd6ca840e3ddd5a0893df707b09dae46f47d630ab6c248f7d944	zh-TW	difficult-pronounce
嘉義地方檢察署	1bed541ea8fa851c04895f11c8e6c72b84c6fa861c3698b73403f6f0310255f2	zh-TW	different-language
大智機車停車場	6eeb8b4a1fcbb6a9c7b39200b96fe3a26d5fdee8a7a3be160febcaaed56de876	zh-TW	different-language
建國同愛街口西北側	eadc29fae1d7ffe3e1a74ed01fba7d5f0b1ad61bec6a348dca99894de7132f77	zh-TW	different-language
捷運國父紀念館站	627a21152e7b22c6198f64d6228f91b64858c37830a15319fddfc776eb5324e9	zh-TW	offensive-language
捷運國父紀念館站	627a21152e7b22c6198f64d6228f91b64858c37830a15319fddfc776eb5324e9	zh-TW	grammar-or-spelling
捷運國父紀念館站	627a21152e7b22c6198f64d6228f91b64858c37830a15319fddfc776eb5324e9	zh-TW	different-language
捷運國父紀念館站	627a21152e7b22c6198f64d6228f91b64858c37830a15319fddfc776eb5324e9	zh-TW	difficult-pronounce
捷運國父紀念館站	627a21152e7b22c6198f64d6228f91b64858c37830a15319fddfc776eb5324e9	zh-TW	????
高雄市立圖書館小港分館	caee718e70d35f67af95670c33e82d20ba97815ac52dcc056a5c369efc353cc8	zh-TW	offensive-language
高雄市立圖書館小港分館	caee718e70d35f67af95670c33e82d20ba97815ac52dcc056a5c369efc353cc8	zh-TW	grammar-or-spelling
高雄市立圖書館小港分館	caee718e70d35f67af95670c33e82d20ba97815ac52dcc056a5c369efc353cc8	zh-TW	different-language
高雄市立圖書館小港分館	caee718e70d35f67af95670c33e82d20ba97815ac52dcc056a5c369efc353cc8	zh-TW	difficult-pronounce
高雄市立圖書館小港分館	caee718e70d35f67af95670c33e82d20ba97815ac52dcc056a5c369efc353cc8	zh-TW	????
綠寶石還有嗎	261fdb4009617dfb57aff74e4372cfc3805315529e8a89aa36bdcc305b662950	zh-TW	offensive-language
綠寶石還有嗎	261fdb4009617dfb57aff74e4372cfc3805315529e8a89aa36bdcc305b662950	zh-TW	grammar-or-spelling
綠寶石還有嗎	261fdb4009617dfb57aff74e4372cfc3805315529e8a89aa36bdcc305b662950	zh-TW	different-language
綠寶石還有嗎	261fdb4009617dfb57aff74e4372cfc3805315529e8a89aa36bdcc305b662950	zh-TW	difficult-pronounce
綠寶石還有嗎	261fdb4009617dfb57aff74e4372cfc3805315529e8a89aa36bdcc305b662950	zh-TW	??
高雄科大第一西校區游泳池	94c46f3a4899e4fbc5b4461f3e5c28cceb25074466cfa6769549da8a9c58b36a	zh-TW	different-language
這個應該跟有沒有印出來沒關係	6b512f66faf7293a0ee25f4e51acf06570d61286c3a44d76b2379148698e54ff	zh-TW	grammar-or-spelling
這個應該跟有沒有印出來沒關係	6b512f66faf7293a0ee25f4e51acf06570d61286c3a44d76b2379148698e54ff	zh-TW	different-language
電台主持人	36009c8cca0a207e8fd01f3b36f5c505c8390c1b75b7b831d2c2177ba8755218	zh-TW	h
